report_date,civic_buildings_destroyed,civic_buildings_ext_destroyed,educational_buildings_damaged,educational_buildings_destroyed,educational_buildings_ext_damaged,educational_buildings_ext_destroyed,places_of_worship_churches_destroyed,places_of_worship_ext_churches_destroyed,places_of_worship_ext_mosques_damaged,places_of_worship_ext_mosques_destroyed,places_of_worship_mosques_damaged,places_of_worship_mosques_destroyed,residential_destroyed,residential_ext_destroyed
1/27/2025,,216,,,357,137,,3,,823,,,,161600
1/28/2025,,216,,,357,137,,3,,823,,,,161600
1/29/2025,,216,,,357,137,,3,,823,,,,161600
1/30/2025,,216,,,357,137,,3,,823,,,,161600
1/31/2025,,216,,,357,137,,3,,823,,,,161600
2/1/2025,,216,,,357,137,,3,,823,,,,161600
2/2/2025,,216,,,357,137,,3,,823,,,,161600
2/3/2025,,216,,,357,137,,3,,823,,,,161600
2/4/2025,,216,,,357,137,,3,,823,,,,161600
2/5/2025,,216,,,357,137,,3,,823,,,,161600
2/6/2025,,216,,,357,137,,3,,823,,,,161600
2/7/2025,,216,,,357,137,,3,,823,,,,161600
2/8/2025,,216,,,357,137,,3,,823,,,,161600
2/9/2025,,216,,,357,137,,3,,823,,,,161600
2/10/2025,,216,,,357,137,,3,,823,,,,161600
2/11/2025,,216,,,357,137,,3,,823,,,,161600
2/12/2025,,216,,,357,137,,3,,823,,,,161600
2/13/2025,,216,,,357,137,,3,,823,,,,161600
2/14/2025,,216,,,357,137,,3,,823,,,,161600
2/15/2025,,216,,,357,137,,3,,823,,,,161600
2/16/2025,,216,,,357,137,,3,,823,,,,161600
2/17/2025,,216,,,357,137,,3,,823,,,,161600
2/18/2025,,216,,,357,137,,3,,823,,,,161600
2/19/2025,,216,,,357,137,,3,,823,,,,161600
2/20/2025,,216,,,357,137,,3,,823,,,,161600
2/21/2025,,216,,,357,137,,3,,823,,,,161600
2/22/2025,,216,,,357,137,,3,,823,,,,161600
2/23/2025,,216,,,357,137,,3,,823,,,,161600
2/24/2025,,216,,,357,137,,3,,823,,,,161600
2/25/2025,,216,,,357,137,,3,,823,,,,161600
2/26/2025,,216,,,357,137,,3,,823,,,,161600
2/27/2025,,216,,,357,137,,3,,823,,,,161600
2/28/2025,,216,,,357,137,,3,,823,,,,161600
3/1/2025,,216,,,357,137,,3,,823,,,,161600
3/2/2025,,216,,,357,137,,3,,823,,,,161600
3/3/2025,,216,,,357,137,,3,,823,,,,161600
3/4/2025,,216,,,357,137,,3,,823,,,,161600
3/5/2025,,216,,,357,137,,3,,823,,,,161600
3/6/2025,,216,,,357,137,,3,,823,,,,161600
3/7/2025,,216,,,357,137,,3,,823,,,,161600
3/8/2025,,216,,,357,137,,3,,823,,,,161600
3/9/2025,,216,,,357,137,,3,,823,,,,161600
3/10/2025,,216,,,357,137,,3,,823,,,,161600
3/11/2025,,216,,,357,137,,3,,823,,,,161600
3/12/2025,,216,,,357,137,,3,,823,,,,161600
3/13/2025,,216,,,357,137,,3,,823,,,,161600
3/14/2025,,216,,,357,137,,3,,823,,,,161600
3/15/2025,,216,,,357,137,,3,,823,,,,161600
3/16/2025,,216,,,357,137,,3,,823,,,,161600
3/17/2025,,216,,,357,137,,3,,823,,,,161600
3/18/2025,,216,,,357,137,,3,,823,,,,161600
3/19/2025,,216,,,357,137,,3,,823,,,,161600
3/20/2025,,216,,,357,137,,3,,823,,,,161600
3/21/2025,,216,,,357,137,,3,,823,,,,161600
3/22/2025,,216,,,357,137,,3,,823,,,,161600
3/23/2025,221,221,359,139,359,139,3,3,,825,,825,165000,165000
